iter	RMSE
0	20603.92557
1	18729.52158
2	17063.44224
3	15596.55735
4	14281.03387
5	13130.14727
6	12101.8307
7	11202.36806
8	10416.11324
9	9678.017745
10	9038.134537
11	8484.499082
12	8007.910623
13	7594.038113
14	7239.695951
15	6941.26422
16	6687.982163
17	6473.777593
18	6297.687896
19	6144.107695
20	6020.301175
21	5915.618662
22	5818.106878
23	5734.050926
24	5661.588662
25	5604.199502
26	5511.568487
27	5422.083268
28	5348.212397
29	5299.995164
30	5248.088426
31	5209.55865
32	5186.072695
33	5156.569109
34	5140.020913
35	5091.582934
36	5037.040319
37	4992.758853
38	4966.020444
39	4937.553986
40	4914.04624
41	4895.241352
42	4875.272878
43	4862.053278
44	4844.731617
45	4834.783021
46	4824.275759
47	4809.758333
48	4796.176802
49	4786.752513
50	4777.014976
51	4767.903061
52	4758.766562
53	4752.837299
54	4748.068828
55	4739.709404
56	4734.939403
57	4731.176104
58	4723.411929
59	4711.805515
60	4706.121
61	4696.154059
62	4689.634859
63	4686.75785
64	4680.991221
65	4676.026764
66	4672.785817
67	4662.39322
68	4654.187707
69	4645.940579
70	4642.504755
71	4629.613543
72	4622.367187
73	4619.383847
74	4612.592725
75	4608.764321
76	4601.439513
77	4588.581395
78	4578.584123
79	4571.005329
80	4565.667549
81	4560.650553
82	4555.506601
83	4548.325051
84	4543.584593
85	4540.814515
86	4535.315476
87	4532.043225
88	4523.93267
89	4519.279708
90	4514.638956
91	4510.097194
92	4508.165867
93	4503.929881
94	4498.873686
95	4491.00151
96	4487.295915
97	4483.740241
98	4477.326743
99	4474.441062
100	4467.387174
101	4464.676171
102	4459.918798
103	4456.485069
104	4450.806188
105	4447.442731
106	4443.257227
107	4439.571933
108	4436.56429
109	4430.234773
110	4427.759719
111	4422.776598
112	4420.238016
113	4416.601334
114	4413.804517
115	4410.906204
116	4407.247041
117	4397.500332
118	4394.96359
119	4392.969518
120	4386.296461
121	4385.002701
122	4380.006844
123	4376.290527
124	4373.859057
125	4372.511664
126	4367.223994
127	4364.175898
128	4359.788127
129	4358.238145
130	4354.451769
131	4350.060041
132	4347.873519
133	4345.394559
134	4343.505405
135	4340.14237
136	4337.669064
137	4336.679047
138	4333.341013
139	4331.524488
140	4329.512942
141	4327.659918
142	4324.802241
143	4322.018936
144	4320.424563
145	4319.077736
146	4315.055428
147	4313.805451
148	4312.772117
149	4310.961779
150	4309.30694
151	4306.614129
152	4303.517419
153	4298.091039
154	4296.65138
155	4291.031767
156	4287.523536
157	4283.682863
158	4280.085309
159	4277.470032
160	4275.845439
161	4274.712379
162	4271.895193
163	4269.866854
164	4268.522912
165	4267.346574
166	4262.996012
167	4261.321264
168	4257.729971
169	4256.140213
170	4253.366819
171	4251.847881
172	4250.306849
173	4248.101094
174	4246.973807
175	4243.644622
176	4241.758903
177	4240.531025
178	4239.629699
179	4235.465583
180	4232.672605
181	4229.440058
182	4226.539524
183	4223.559008
184	4222.47606
185	4220.152883
186	4217.886882
187	4216.116014
188	4213.526829
189	4207.526072
190	4204.689922
191	4203.281272
192	4202.402447
193	4200.481641
194	4198.158606
195	4197.254047
196	4194.34772
197	4192.547358
198	4192.07525
199	4190.00009
200	4188.385298
201	4187.355265
202	4182.473924
203	4180.939224
204	4178.56306
205	4176.353219
206	4173.267081
207	4171.201955
208	4169.625133
209	4167.253815
210	4165.930338
211	4164.835912
212	4163.83158
213	4160.256628
214	4158.24263
215	4155.875892
216	4153.790457
217	4152.135631
218	4149.175005
219	4147.549422
220	4146.566708
221	4144.822855
222	4143.102877
223	4141.956697
224	4141.335759
225	4140.312568
226	4138.712
227	4136.642464
228	4135.68127
229	4134.086324
230	4133.031728
231	4130.145615
232	4126.844996
233	4126.035507
234	4122.917685
235	4120.394628
236	4117.041007
237	4115.597017
238	4113.998743
239	4113.102611
240	4110.842895
241	4109.638175
242	4107.677825
243	4106.714
244	4105.903668
245	4103.372496
246	4101.845801
247	4100.483429
248	4097.40782
249	4094.248405
250	4092.864025
251	4091.255658
252	4089.133706
253	4088.305732
254	4084.752755
255	4083.637809
256	4080.163212
257	4078.018331
258	4077.07712
259	4075.594982
260	4074.499709
261	4073.61862
262	4072.08772
263	4070.542825
264	4068.62791
265	4066.508446
266	4065.612217
267	4064.898223
268	4063.44422
269	4060.591064
270	4058.633565
271	4056.654077
272	4055.311751
273	4054.507579
274	4053.706535
275	4052.405148
276	4051.920283
277	4049.350821
278	4047.660938
279	4045.665442
280	4043.727409
281	4043.146123
282	4042.674463
283	4040.788289
284	4039.504751
285	4036.616938
286	4035.15652
287	4032.877048
288	4031.732104
289	4030.80338
290	4030.205709
291	4029.247425
292	4027.494632
293	4026.684703
294	4024.30104
295	4022.550091
296	4021.82882
297	4020.579834
298	4017.952842
299	4016.970172
300	4014.85892
301	4013.326559
302	4010.988367
303	4010.180807
304	4008.116721
305	4006.988863
306	4006.273601
307	4005.527592
308	4004.406047
309	4002.731942
310	4000.248906
311	3997.668882
312	3997.065037
313	3994.811732
314	3992.977534
315	3991.755703
316	3989.7161
317	3988.667029
318	3988.155414
319	3987.239576
320	3986.450896
321	3985.306144
322	3984.489393
323	3982.424776
324	3981.558217
325	3980.790407
326	3980.180227
327	3979.804515
328	3978.180714
329	3976.887955
330	3976.381732
331	3974.919231
332	3973.613437
333	3970.666065
334	3969.960852
335	3968.963889
336	3966.246869
337	3966.120536
338	3964.904395
339	3963.995197
340	3961.445367
341	3960.949979
342	3958.89222
343	3957.041437
344	3956.189932
345	3954.911365
346	3952.099961
347	3949.577327
